"ID_ODDELENIA","ID_NEMOCNICE","ID_TYPU_ODDELENIA"
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,2,1
43,2,2
44,2,3
45,2,4
46,2,5
47,2,6
48,2,7
49,2,8
50,2,9
51,2,10
52,2,11
53,2,12
54,2,13
55,2,14
56,2,15
57,2,16
58,2,17
59,2,18
60,2,19
61,2,20
62,2,21
63,2,22
64,2,23
65,2,24
66,2,25
67,2,26
68,2,27
69,2,28
70,2,29
71,2,30
72,2,31
73,2,32
74,2,33
75,2,34
76,2,35
77,2,36
78,2,37
79,2,38
80,2,39
81,2,40
82,2,41
83,3,1
84,3,2
85,3,3
86,3,4
87,3,5
88,3,6
89,3,7
90,3,8
91,3,9
92,3,10
93,3,11
94,3,12
95,3,13
96,3,14
97,3,15
98,3,16
99,3,17
100,3,18
101,3,19
102,3,20
103,3,21
104,3,22
105,3,23
106,3,24
107,3,25
108,3,26
109,3,27
110,3,28
111,3,29
112,3,30
113,3,31
114,3,32
115,3,33
116,3,34
117,3,35
118,3,36
119,3,37
120,3,38
121,3,39
122,3,40
123,3,41
124,4,1
125,4,2
126,4,3
127,4,4
128,4,5
129,4,6
130,4,7
131,4,8
132,4,9
133,4,10
134,4,11
135,4,12
136,4,13
137,4,14
138,4,15
139,4,16
140,4,17
141,4,18
142,4,19
143,4,20
144,4,21
145,4,22
146,4,23
147,4,24
148,4,25
149,4,26
150,4,27
151,4,28
152,4,29
153,4,30
154,4,31
155,4,32
156,4,33
157,4,34
158,4,35
159,4,36
160,4,37
161,4,38
